OrderID,OrderDate,CustomerID,CustomerName,Segment,Country,Region,Category,Product,Quantity,UnitPrice,Discount,ShippingCost,PaymentMethod,OrderStatus
ORD-100132,2024-10-20,CUST-00086,Grace Tanaka,Small Business,United States,North America,Office,Standing Desk Mat,1,41.85,0.0,24.42,Credit Card,Completed
ORD-103243,2023-11-17,CUST-00059,Jennifer Brown,Consumer,Germany,Europe,Apparel,T-Shirt,1,83.22,0.0,2.08,PayPal,Completed
ORD-106929,2024-02-19,CUST-00150,Ana Silva,Consumer,Spain,Europe,Apparel,Wool Socks,1,56.87,0.0,6.24,Gift Card,Returned
ORD-104148,2023-11-07,CUST-00136,Mary Rossi,Consumer,SINGAPORE,Asia,Beauty,Shampoo,1,36.15,0.15,19.89,PayPal,Completed
ORD-106002,2024-01-13,CUST-00388,Wei Muller,Small Business,United States,North America,Sports & Outdoors,Yoga Mat,1,12.71,0.0,9.3,Credit Card,Completed
ORD-105878,2023-06-15,CUST-00808,Robert Brown,Small Business,United States,North America,Apparel,Baseball Cap,1,27.85,0.0,20.8,PayPal,Completed
ORD-106254,2024-06-19,CUST-00259,Liam Smith,Small Business,Spain,Europe,Apparel,Denim Jacket,1,44.28,0.0,20.91,Credit Card,Cancelled
ORD-104742,2023-03-10,CUST-00154,Linda Silva,Consumer,United States,North America,Home & Kitchen,Coffee Maker,2,131.83,0.0,24.95,Credit Card,Completed
ORD-102941,2023-08-12,CUST-00468,Grace Johnson,Enterprise,United Kingdom,Europe,Sports & Outdoors,Resistance Bands,1,148.08,0.0,17.09,Bank Transfer,Completed
ORD-100707,2023-11-25,CUST-00286,Wei Martinez,Small Business,Australia,Oceania,Home & Kitchen,Throw Pillow,1,123.89,0.0,10.48,PayPal,Completed
ORD-100611,2024-03-07,CUST-00483,Wei Dubois,Consumer,Spain,Europe,Sports & Outdoors,Yoga Mat,3,87.82,0.0,18.45,Bank Transfer,Completed
ORD-105414,2024-12-03,CUST-00234,James Garcia,Consumer,United Kingdom,Europe,Apparel,Baseball Cap,1,36.55,0.0,22.98,Credit Card,Completed
ORD-102937,2024-07-08,CUST-00594,Jennifer Martinez,Consumer,Japan,Asia,Sports & Outdoors,Water Bottle,1,14.04,0.0,11.71,Debit Card,Completed
ORD-100902,2023-09-02,CUST-00137,Mary Williams,Enterprise,Italy,Europe,Beauty,Lip Balm,2,59.58,0.0,16.33,Credit Card,Completed
ORD-105659,2024-11-25,CUST-00438,Patricia Dubois,Consumer,United States,North America,Home & Kitchen,Cutting Board,1,31.29,0.0,8.68,Credit Card,Completed
ORD-102462,2023-12-10,CUST-00054,Tom Khan,Consumer,Brazil,South America,Home & Kitchen,Storage Bin,2,43.64,0.1,2.93,Credit Card,Completed
ORD-100267,2024-08-25,CUST-00794,Sofia Muller,Small Business,Canada,North America,Apparel,Denim Jacket,2,72.21,0.0,7.24,Debit Card,Completed
ORD-101544,2024-04-13,CUST-00301,,,United States,North America,Home & Kitchen,Throw Pillow,3,51.24,0.0,21.04,Credit Card,Completed
ORD-104375,2024-05-26,CUST-00492,Olivia Martinez,Consumer,Germany,Europe,Office,Desk Organizer,2,56.18,0.05,13.58,Credit Card,Completed
ORD-103827,2024-08-19,CUST-00576,Liam Johnson,Consumer,Australia,Oceania,Home & Kitchen,Blender,2,136.33,0.1,17.36,Debit Card,Completed
ORD-105971,2024-05-29,CUST-00295,Olivia Dubois,Consumer,United States,North America,Electronics,Laptop Stand,1,60.9,0.0,9.8,Credit Card,Returned
ORD-102351,2023-12-04,CUST-00684,Hiro Miller,Enterprise,United States,North America,Apparel,Running Shoes,1,32.59,0.05,6.81,Credit Card,Completed
ORD-103824,2023-09-07,CUST-00481,Mary Jones,Consumer,United States,North America,Home & Kitchen,Storage Bin,1,59.96,0.0,20.42,PayPal,Completed
